"doc_id","subordinate_clause_count"
"10004",1
"10006",1
"10009",1
"10011",4
"10016",1
"10032",1
"10039",1
"10041",1
"10044",3
"10049",3
"10052",4
"10054",2
"10056",2
"10059",2
"10061",5
"10063",4
"10065",2
"10067",3
"10073",1
"10076",1
"10077",2
"10081",2
"10092",1
"10094",2
"10096",2
"10098",3
"10103",1
"10105",4
"10107",1
"10109",1
"10110",1
"10112",4
"10117",1
"10119",1
"10121",1
"10126",1
"10130",2
"10132",1
"10134",2
"10137",1
"10139",1
"10141",1
"10143",1
"10145",1
"10146",1
"10149",2
"10150",2
"10151",6
"10153",3
"10155",3
"10157",6
"10162",5
"10163",1
"10167",1
"10170",1
"10172",1
"10174",2
"10199",1
"10203",2
"10204",2
"10207",1
"10212",2
"10216",1
"10217",2
"10218",2
"10232",2
"10233",2
"10234",4
"10244",1
"10246",1
"10248",1
"10250",1
"10251",2
"10252",2
"10253",2
"10254",1
"10255",2
"10257",1
"10272",2
"10273",3
"10274",2
"10275",2
"10276",1
"10277",3
"10278",3
"10279",2
"10281",1
"10285",3
"10286",2
"10287",2
"10288",2
"10289",1
"10290",1
"10292",1
"10293",3
"10295",1
"10296",1
"10297",3
"10298",2
"10299",1
"10300",2
"10301",1
"10303",2
"10305",1
"10306",1
"10307",1
"10308",1
"10309",1
"10310",2
"10311",2
"10312",2
"10315",2
"10316",3
"10318",1
"10321",3
"10322",3
"10323",2
"10325",2
"10327",2
"10383",1
"10384",1
"10385",1
"10386",2
"10387",1
"10389",1
"10390",1
"10400",1
"10401",1
"10406",2
"10421",2
"10475",1
"10476",1
"10483",2
"10484",2
"10485",1
"10487",2
"10488",1
"10489",1
"10490",1
"10496",1
"10530",1
"10541",1
"10543",2
"10544",1
"10545",3
"10561",1
"10564",1
"10570",2
"10571",2
"10572",2
"10576",1
"10627",3
"10630",1
"10631",2
"10636",1
"10637",3
"10638",1
"10639",2
"10643",1
"10645",1
"10647",2
"10649",2
"10650",1
"10651",2
"10653",1
"10655",1
"10656",1
"10659",1
"10660",2
"10661",1
"10664",1
"10665",1
"10666",1
"10670",2
"10671",1
"10675",1
"10676",1
"10677",1
"10678",2
"10731",3
"10732",1
"10736",1
"10737",2
"10739",4
"10740",1
"10742",2
"10750",1
"10752",2
"10753",1
"10754",1
"10755",2
"10758",1
"10759",3
"10760",1
"10761",2
"10762",1
"10770",2
"10772",1
"10773",3
"10797",1
"10803",1
"10804",1
"10807",1
"10809",2
"10810",1
"10814",1
"10816",2
"10818",2
"10819",1
"10821",1
"10823",7
"10827",2
"10831",1
"10838",1
"10839",3
"10840",1
"10842",2
"10847",5
"10856",2
"10867",5
"10870",1
"10881",1
"10883",1
"10885",3
"10887",1
"10889",1
"10892",3
"10899",1
"10906",1
"10911",4
"10916",4
"10921",1
"10930",1
"10931",1
"10940",1
"10942",4
"10944",2
"10948",1
"10951",2
"10953",1
"10954",1
"10961",1
"10965",4
"10971",5
"10974",5
"10986",1
"10988",1
"10991",1
"10993",4
"10994",1
"10995",5
"10996",1
"11006",1
"11009",1
"11010",1
"11015",1
"11017",1
"11019",1
"11021",2
"11025",1
"11030",2
"11034",1
"11038",2
"11049",1
"11056",1
"11058",1
"11062",1
"11063",1
"11065",2
"11066",3
"11069",2
"11073",1
"11084",1
"11085",2
"11089",1
"11091",1
"11103",3
"11107",1
"11120",1
"11131",1
"11132",1
"11142",2
"11149",1
"11153",1
"11162",2
"11166",3
"11171",1
"11178",2
"11180",2
"11183",5
"11188",3
"11189",1
"11191",2
"11193",2
"11196",1
"11199",1
"11201",1
"11202",3
"11204",1
"11207",1
"11208",1
"11209",1
"11215",1
"11216",2
"11217",2
"11218",1
"11223",1
"11224",1
"11231",1
"11232",1
"11235",2
"11236",2
"11241",1
"11246",2
"11249",1
"11251",5
"11252",2
"11263",2
"11273",1
"11275",1
"11276",1
"11278",2
"11279",1
"11280",1
"11282",2
"11288",1
"11293",1
"11297",1
"11300",1
"11301",3
"11302",1
"11304",1
"11308",1
"11316",1
"11319",3
"11321",1
"11322",1
"11327",1
"11334",2
"11335",3
"11339",2
"11341",2
"11342",2
"11343",2
"11360",1
"11363",1
"11372",2
"11373",2
"11376",1
"11382",4
"11383",1
"11384",1
"11386",2
"11387",1
"11390",3
"11391",1
"11393",1
"11397",1
"11401",1
"11404",1
"11406",1
"11409",1
"11416",5
"11419",1
"11421",1
"11434",1
"11437",2
"11439",2
"11442",1
"11446",1
"11449",2
"11456",1
"11465",3
"11467",2
"11469",3
"11478",2
"11480",1
"11494",1
"11513",1
"11518",2
"11524",4
"11526",2
"11527",1
"11531",1
"11532",1
"11534",1
"11541",3
"11550",1
"11554",1
"11555",1
"11557",2
"11560",2
"11562",2
"11564",2
"11566",1
"11567",2
"11568",1
"11572",3
"11573",7
"11574",2
"11579",1
"11598",2
"11599",1
"11600",1
"11608",1
"11609",2
"11611",1
"11615",1
"11618",1
"11624",4
"11627",1
"11628",1
"11630",1
"11631",1
"11633",2
"11634",1
"11635",4
"11641",3
"11643",1
"11644",1
"11645",4
"11646",1
"11652",1
"11656",2
"11661",1
"11664",1
"11666",1
"11672",1
"11682",3
"11685",2
"11686",3
"11688",4
"11700",1
"11716",1
"11717",2
"11719",2
"11722",1
"11726",1
"11729",1
"11730",3
"11741",4
"11753",1
"11754",1
"11755",3
"11764",1
"11776",1
"11788",4
"11789",1
"11793",2
"11799",1
"11802",1
"11808",2
"118100",1
"11819",3
"11827",2
"11834",1
"11855",1
"11857",1
"11862",1
"11882",2
"11885",2
"11886",1
"11887",2
"11893",1
"11907",2
"11912",1
"11918",4
"11922",1
"11924",3
"11932",2
"11938",1
"11945",2
"11949",2
"11952",1
"11960",1
"11961",1
"11964",2
"11965",1
"11966",1
"11967",1
"11968",2
"11970",1
"11987",1
"11990",1
"11995",1
"11997",1
"11999",1
"12001",1
"12009",1
"12011",1
"12017",1
"12019",1
"12021",3
"12024",1
"12026",4
"12032",1
"12033",1
"12038",1
"12042",4
"12045",3
"12048",1
"12055",1
"12056",1
"12057",1
"12065",2
"12071",1
"12076",1
"12077",2
"12082",1
"12083",1
"12097",1
"12101",2
"12104",1
"12105",1
"12115",1
"12116",1
"12120",3
"12132",1
"12135",3
"12139",1
"12141",1
"12149",1
"12151",1
"12159",1
"12160",1
"12162",2
"12166",1
"12168",1
"12174",1
"12183",2
"12184",1
"12185",1
"12186",1
"12190",3
"12193",2
"12194",2
"12196",1
"12197",1
"12203",1
"12204",1
"12207",1
"12211",2
"12214",2
"12215",1
"12218",1
"12223",1
"12230",1
"12232",1
"12236",1
"12254",1
"12257",1
"12260",2
"12266",1
"12284",1
"12287",1
"12295",2
"12297",1
"12300",5
"12305",2
"12306",4
"12311",1
"12323",2
"12327",1
"12331",2
"12333",1
"12335",1
"12340",2
"12352",2
"12353",1
"12356",2
"12364",1
"12365",2
"12380",1
"12384",3
"12394",1
"12397",1
"12406",1
"12408",1
"12410",1
"12412",4
"12413",1
"12417",4
"12421",6
"12423",2
"12426",2
"12430",5
"12433",1
"12435",3
"12438",3
"12440",4
"12442",4
"12444",2
"12446",4
"12450",3
"12452",3
"12454",1
"12455",1
"12457",1
"12460",8
"12462",7
"12467",4
"12469",1
"12473",2
"12475",8
